140510	洪旅玻	5	0	25	43	64	96
140207	汪桓矶	2	1	98	68	67	62
140908	钮达浚	9	1	72	69	70	68
140501	邱嶙解	5	1	66	96	76	63
140202	叶建林	2	1	71	97	76	92
140401	巴隆九	4	1	60	89	94	70
140901	俞法复	9	1	68	97	87	64
140609	唐寒丛	6	0	90	61	70	94
140110	班慷刚	1	1	53	81	89	64
140607	鄂宽佼	6	1	63	94	97	60
140605	施俭倍	6	1	68	77	95	97
140910	水奔横	9	0	95	89	48	76
140109	水昌瀑	1	1	99	18	21	74
140703	潘弼宽	7	2	60	80	79	87
140310	邢端地	3	1	91	3	40	71
140909	周桓环	9	1	19	30	21	47
140603	柳钽钩	6	1	86	99	82	66
140206	宓强进	2	1	79	87	81	96
140105	毕镔百	1	1	94	60	92	97
140601	麻俚历	6	1	65	77	64	78
140406	黎辽利	4	1	76	74	93	71
140902	嵇灿处	9	1	91	96	85	82
140504	诸秉栊	5	1	71	80	60	94
140101	荣国宏	1	1	69	80	84	88
140103	钱复阜	1	1	66	82	76	66
140205	雷留狄	2	1	84	80	92	90
140010	吴祷举	10	0	100	98	93	95
140404	解琥俚	4	1	77	95	88	100
140005	裴桓价	10	1	63	65	79	68
140307	苏胞按	3	1	64	84	69	88
140405	阮笃璀	4	1	79	93	90	61
140805	司径晋	8	1	82	85	95	68
140608	乔恳火	6	1	80	75	91	66
140705	褚磊并	7	1	87	69	93	83
140802	董得管	8	1	88	74	92	99
140604	祁浜复	6	1	64	80	71	91
140801	俞筹浩	8	1	75	79	70	90
140903	张积京	9	1	78	65	77	82
140502	伍煅居	5	1	99	93	88	72
140106	童俭棰	1	1	92	60	65	87
140602	范斐畴	6	1	89	82	88	79
140806	齐晁笃	8	1	91	91	88	85
140905	嵇鸿连	9	1	88	98	61	66
140204	龚贵归	2	1	85	91	87	73
140807	米大淋	8	1	67	70	86	66
140104	陈慷沥	1	1	70	65	83	95
140906	贲琮看	9	1	83	61	81	74
140402	苏嘉瀚	4	1	73	77	85	82
140209	酆谅卢	2	0	24	56	1	62
140409	甄宽观	4	2	74	33	91	38
140506	班曝临	5	0	77	99	67	84
140001	杭登陵	10	1	65	62	76	75
140810	王理磷	8	1	89	45	27	60
140809	花陵阜	8	0	82	99	77	96
140610	单材洪	6	1	78	46	36	67
140706	裘顾昂	7	1	86	79	71	64
140308	焦科皓	3	0	64	77	69	83
140002	范藩尖	10	1	63	63	61	66
140007	山按率	10	0	95	74	89	75
140309	米赋皎	3	0	83	34	44	13
140904	邓进灏	9	1	61	92	63	65
140305	马绸岗	3	1	79	78	80	95
140201	郭琛矿	2	1	65	99	64	87
140503	和策近	5	1	69	90	80	78
140704	许焕广	7	1	89	86	62	76
140403	邬贵键	4	1	68	69	76	71
140009	芮瀚火	10	1	80	97	89	76
140210	蔡峦彻	2	0	27	75	80	77
140107	周律枫	1	0	43	69	58	98
140304	仇晖介	3	1	81	100	67	87
140302	郝矶里	3	1	67	83	74	85
140407	柏洹博	4	0	86	97	97	80
140507	祝奎斑	5	1	74	100	89	100
140303	马觉杠	3	1	69	94	73	82
140410	雷留君	4	0	7	63	14	82
140301	巴廖甘	3	1	74	72	82	76
140707	邹荆辟	7	1	88	80	72	78
140004	米川杰	10	1	97	76	61	73
140306	孙炮恒	3	0	91	84	95	77
140108	屈霭季	1	1	48	96	6	10
140710	计家诀	7	1	92	89	91	96
140208	戴财利	2	1	78	43	77	21
140708	赖钧瀚	7	1	95	68	96	85
140907	成技檗	9	1	71	69	63	83
140003	博朗百	10	1	83	97	75	86
140509	胥勃雕	5	1	9	37	35	5
140701	荣君锤	7	1	87	60	79	75
140505	包畅津	5	1	93	67	76	97
140203	双聆粮	2	1	92	100	82	89
140008	危耿锂	10	0	90	91	84	92
140508	孙谛波	5	1	69	78	91	98
140102	莫柏弘	1	1	66	99	65	62
140709	奚留绰	7	0	79	60	100	91
140808	卓葛贵	8	0	97	73	78	85
140803	黄保旅	8	1	80	83	70	97
140702	诸火管	7	1	72	79	63	90
140606	宁湖参	6	1	97	69	96	77
140006	袁郸鹤	10	1	69	70	94	71
140408	程枫洪	4	0	51	89	29	16
140804	嵇砥加	8	1	91	72	87	61
